Date,TOPIX,EXCH
2017-07-07,-0.008571702727178554,-0.00044152060410862504
2017-07-11,0.007341055121434792,0.0072164354359580685
2017-07-12,0.004063414531759513,-0.0008772699922223737
2017-07-13,0.0017302693622678333,-0.006869247618882746
2017-07-14,-0.0010094731284855385,0.0010598835120427808
2017-07-18,-0.0015901390099450907,-0.005665737535677451
2017-07-19,-0.002692972109800351,-0.0049839903809800745
2017-07-20,0.004350851575295245,-0.00098192375664663
2017-07-21,0.0033504987925319085,-0.0005360014421693649
2017-07-25,-0.004878853766923541,-0.007174275234018701
2017-07-26,0.0041728016432269754,0.00699554422371218
2017-07-27,-0.004808249146108778,-0.0064556845741057245
2017-07-28,0.002360839533191772,0.000719359800825714
2017-08-01,-0.0031387325936069743,-0.009029406719394117
2017-08-02,0.009753836398000537,0.0009972350221296722
